driverId,week,hours-logged,miles-logged
97,27,76,2500
96,9,80,2300
21,36,74,1100
83,23,64,2500
87,48,60,2800
14,9,75,2300
86,39,58,1000
70,8,76,2600
60,19,71,1500
84,39,66,3600
81,17,79,400
42,24,62,2700
84,32,69,3100
10,15,69,1100
87,12,62,400
109,45,52,800
67,5,67,2300
69,39,67,800
93,26,50,400
26,26,67,3800
56,15,79,2200
51,8,62,2800
94,31,57,1400
19,13,53,0
22,1,56,2200
18,4,74,100
14,34,52,2200
95,38,63,3100
56,9,74,4000
82,38,79,3200
88,40,54,3300
103,24,67,1000
42,21,73,400
69,26,60,3300
12,20,66,2200
48,3,78,2800
33,8,53,1200
25,48,79,1800
47,50,72,1400
45,19,75,3100
54,18,56,2500
83,34,61,2100
82,31,55,2900
14,2,59,3600
81,49,75,100
109,33,74,2000
49,5,57,2300
82,24,75,2200
24,44,77,1900
60,44,62,800
70,29,67,2200
33,51,74,2500
68,29,62,2100
102,2,67,2400
16,35,52,2400
107,39,66,4000
103,8,64,700
101,14,71,1800
85,9,70,3300
26,24,75,3900
88,48,61,1000
106,41,61,1900
28,31,78,3200
28,22,77,3600
79,52,54,1700
59,14,59,1900
22,42,53,900
83,11,65,3600
16,37,70,3100
24,23,58,3600
47,8,66,400
95,12,65,200
11,46,80,400
52,38,55,2300
88,22,51,2300
85,47,72,1200
22,4,76,3700
68,6,80,1700
72,43,72,1000
68,51,66,1300
24,1,63,600
10,10,53,2700
22,7,62,200
83,2,57,1900
89,44,79,3500
84,35,73,2500
85,14,65,1600
88,4,74,200
66,21,50,2100
70,16,64,2700
86,26,68,200
59,5,64,1000
16,35,68,200
68,43,53,1400
36,25,73,900
55,10,55,300
32,36,64,2200
101,13,75,2500
54,25,62,1300
104,31,56,3800
90,51,59,3000
11,43,77,1100
41,29,65,1600
21,46,64,800
71,28,77,200
21,12,76,2400
65,20,70,1100
56,25,63,2000
56,35,79,1400
67,28,75,1500
16,37,76,3100
46,9,69,1500
89,12,70,600
80,31,51,1600
92,25,78,3800
99,52,56,1500
71,27,62,2800
94,29,53,700
35,47,51,3900
50,23,72,3100
26,9,75,3600
72,15,52,300
26,35,72,0
21,16,57,1800
48,45,55,3500
98,16,68,2000
50,47,73,1800
51,37,70,1900
78,1,57,1900
70,30,74,2300
48,21,78,1700
109,15,67,1000
97,14,53,800
14,1,63,3200
44,40,64,200
24,39,57,2900
38,36,69,1500
16,10,70,2500
10,28,62,2900
53,40,50,900
54,32,74,3000
92,13,62,500
68,7,57,200
29,14,68,1000
59,48,65,2100
103,28,78,3300
79,7,50,400
21,45,61,500
19,24,62,3700
28,7,60,300
84,9,60,3500
47,5,76,2800
29,40,78,3600
86,27,69,1000
86,42,75,3000
63,44,68,500
35,47,79,2000
44,13,64,400
96,51,71,100
51,43,65,200
87,20,57,3200
10,23,64,1200
41,8,66,3200
22,38,54,500
88,5,50,700
31,32,58,1500
58,35,65,1500
98,5,62,200
26,33,59,1800
73,29,80,3000
102,11,76,1700
50,5,52,2700
10,5,72,2700
94,35,52,200
56,2,79,400
68,51,57,3400
26,49,80,3700
44,7,58,2800
11,1,56,2500
47,11,72,1000
21,16,78,2300
25,5,56,3000
79,47,64,2300
65,50,69,2300
100,50,50,2300
29,32,70,2100
18,1,56,1400
108,6,79,2000
15,51,62,1900
91,13,55,2200
16,5,63,2300
30,32,59,900
101,22,79,200
99,36,76,400
60,50,57,1500
24,28,80,300
58,26,63,400
98,44,74,3200
52,34,65,3400
42,20,60,3300
58,22,79,0
96,46,69,3300
61,36,53,1900
103,37,66,2400
74,37,64,0
16,45,53,1700
68,16,78,3700
13,42,51,3600
19,52,55,3700
21,51,69,2200
106,35,62,1700
40,27,53,2800
72,10,63,1400
50,35,76,1000
104,46,60,900
83,43,51,2400
17,24,53,700
53,37,50,2700
83,18,50,2000
108,48,80,3200
103,40,75,2400
11,37,57,3800
68,41,77,4000
93,15,60,2300
64,20,76,900
47,20,76,1100
68,30,70,3800
103,47,65,3500
26,51,74,1400
51,28,51,3400
35,26,57,2100
84,49,72,3100
93,52,66,300
96,38,79,1400
30,31,59,1500
24,5,68,2700
15,26,70,1700
107,18,76,800
60,42,50,2900
30,23,55,4000
73,9,61,2600
28,39,76,0
106,32,65,2400
87,42,76,1000
19,2,73,700
74,19,75,1300
26,6,71,3700
105,3,66,2000
19,20,79,900
52,52,67,2100
101,26,62,4000
80,3,68,2000
58,35,62,3900
67,34,61,400
73,5,80,3400
83,12,65,2100
33,27,58,3500
65,21,67,700
88,1,52,3000
65,31,59,2000
106,7,72,500
99,9,73,1700
66,23,54,2900
87,30,54,700
44,44,70,1800
86,2,58,2200
48,10,80,1600
22,23,65,1200
97,50,73,3100
42,10,56,2000
23,2,64,2000
15,6,80,200
55,35,75,2500
59,22,56,2700
51,15,67,900
15,51,59,700
61,33,59,3500
103,42,77,2500
92,44,56,800
71,28,50,2100
23,39,70,4000
42,11,70,2200
79,28,62,1300
99,49,50,600
40,25,72,600
105,41,79,100
28,17,67,600
54,20,80,600
36,30,53,400
66,51,63,1700
38,27,61,1500
95,12,77,4000
45,31,77,2400
56,21,69,1200
75,44,56,2400
47,46,63,2700
86,42,79,1300
77,14,54,3700
17,45,59,3300
19,52,53,2500
13,16,75,600
98,41,79,1800
104,3,73,3500
64,47,73,2600
12,13,50,4000
11,47,70,3200
66,8,72,300
62,10,73,2500
79,48,75,3200
82,33,77,1200
41,33,64,1800
84,3,64,100
52,16,65,3500
32,21,67,2500
19,11,68,1200
57,49,58,2900
85,27,54,1100
51,30,75,1800
43,26,62,3400
55,50,72,1400
29,12,57,3800
34,33,80,3700
40,12,68,3300
35,23,54,800
101,37,68,200
55,49,51,1000
100,11,67,1500
67,46,65,900
107,27,62,1300
42,51,62,500
107,15,68,3100
105,49,65,2400
82,22,67,2300
105,35,60,2700
106,29,74,500
91,12,54,500
94,16,71,2500
42,50,70,400
90,52,55,800
82,3,78,3900
102,19,72,2600
40,24,70,3000
49,9,50,1000
23,4,62,400
45,12,68,1800
27,19,51,2000
56,15,71,2400
92,3,56,2800
96,4,58,1800
60,12,67,1000
27,39,66,3400
73,24,70,900
19,40,74,1100
65,4,51,2900
100,24,80,1700
79,15,79,3900
40,11,51,3700
41,16,78,900
65,33,68,2800
50,29,72,2300
36,20,80,3300
18,26,78,3600
15,34,52,1600
86,17,78,3200
15,23,69,1500
55,47,66,1900
54,16,56,3800
12,46,50,200
72,33,78,3700
40,39,53,1700
87,3,68,2900
67,36,50,1400
55,44,68,1600
102,1,68,2100
21,43,80,3700
77,44,77,3300
25,11,64,500
82,4,75,1500
104,51,74,1000
29,21,80,1200
43,41,73,3500
27,35,67,3900
38,39,53,1300
80,39,54,900
88,52,56,3300
55,12,74,3600
108,15,61,2600
107,13,62,1700
84,42,70,300
85,12,56,3800
20,23,76,400
16,11,62,2000
33,13,50,3400
44,36,78,3500
39,22,77,3500
53,1,58,3000
16,33,70,2400
31,31,61,900
73,23,72,1400
71,45,66,400
74,36,56,3200
54,8,78,1900
86,34,61,4000
82,2,70,1000
27,49,72,3100
77,16,78,4000
70,43,58,3400
17,29,67,1000
27,21,53,1200
34,13,50,2100
99,37,80,3400
103,13,58,100
21,39,63,3000
16,40,78,400
59,12,69,1600
71,48,67,2000
50,39,55,4000
73,51,73,3100
15,33,54,3200
18,48,65,3800
33,38,70,300
35,31,80,1900
37,26,71,0
85,30,62,2900
71,6,60,3100
15,41,60,3200
104,36,79,2900
51,38,64,3700
43,24,69,300
107,39,77,3400
83,49,72,4000
96,36,55,2000
68,13,61,1500
58,38,69,2300
35,40,65,3000
23,23,52,2500
98,49,78,500
12,21,78,3700
61,34,64,600
24,49,59,3500
108,8,68,600
47,8,74,800
86,30,77,900
97,28,59,3800
10,25,75,2100
30,20,79,1200
24,27,63,3800
35,35,80,3000
80,6,68,4000
40,35,61,700
74,16,59,2100
74,32,55,1800
56,39,66,3200
44,1,78,2100
12,46,70,2800
47,9,78,2400
27,49,71,600
64,2,75,1400
62,13,52,500
35,22,72,2000
80,17,50,1600
97,24,73,3800
77,43,70,3900
11,47,64,100
32,42,54,2300
31,26,51,2200
43,38,62,3700
40,13,50,1600
99,40,77,3900
94,28,80,3000
75,29,51,2600
65,37,61,2300
59,51,58,3500
75,42,60,2200
88,1,51,2500
29,47,71,1900
81,7,50,2900
95,47,54,2400
67,8,69,3000
16,39,71,2400
76,36,57,2500
95,29,63,3300
15,21,78,3500
66,13,69,2000
94,39,73,2500
10,51,51,600
32,47,52,3300
20,11,53,2100
66,39,66,2800
29,45,67,3400
11,6,68,2500
44,2,63,2100
47,19,70,900
84,27,71,3300
105,26,61,0
59,44,63,600
86,32,56,4000
64,24,62,1400
65,5,78,2100
35,39,79,300
16,46,78,1000
96,25,68,2200
39,14,73,1700
71,19,68,1500
95,3,52,3800
63,27,51,2900
63,6,54,2200
102,30,61,100
58,32,59,1400
109,1,67,3200
26,11,71,1100
53,12,79,1300
90,4,53,100
99,24,79,1500
105,35,77,3300
29,32,57,1900
23,44,75,900
102,19,74,700
90,34,53,2900
75,27,62,3500
45,48,58,3900
50,32,53,800
95,36,68,700
51,38,59,2800
66,38,63,1300
19,13,73,300
33,38,73,3100
17,38,51,3300
35,40,80,4000
35,44,61,1800
24,7,55,3600
84,16,59,1800
67,7,66,1000
27,30,77,2200
34,11,65,1300
50,26,50,1200
90,50,63,3900
77,5,68,100
89,35,52,2200
75,40,73,2000
22,5,55,2200
25,18,51,3800
103,24,78,2000
13,38,56,1600
104,8,71,3500
108,48,78,1800
28,25,80,1100
44,17,62,1100
76,18,75,800
101,38,76,100
53,17,70,3400
36,22,78,3400
59,31,73,1700
85,40,58,2200
13,28,80,3300
59,26,73,2700
48,11,67,2100
64,46,72,3200
47,5,59,3700
92,20,72,1400
17,29,70,900
72,27,50,3200
37,38,51,2900
81,14,75,2100
72,15,62,3200
78,36,60,100
36,42,78,2000
102,7,71,200
48,28,51,1900
47,25,66,1400
57,40,71,100
27,10,50,2000
19,16,64,1400
77,46,54,3900
29,8,65,1900
72,22,56,3600
43,44,80,900
37,22,55,2700
34,6,66,2300
50,50,77,1200
106,8,56,600
51,48,75,3400
67,36,63,0
52,13,72,3200
62,12,80,3200
39,10,57,3100
25,14,70,2600
34,15,74,1600
14,28,64,3600
89,22,53,1500
23,39,50,900
102,6,60,1000
41,43,52,1600
24,45,52,600
82,35,71,1900
67,6,79,200
80,1,50,3900
10,18,73,2200
107,50,80,1600
90,18,65,900
92,12,54,2600
39,20,66,3700
101,46,69,800
91,41,52,2000
66,7,57,2000
79,25,75,3300
92,2,68,2800
92,50,56,1600
46,23,78,2300
17,28,79,1800
95,19,69,2300
106,15,53,900
81,10,52,4000
37,12,55,400
68,32,80,3800
44,29,53,1600
16,21,71,3700
98,51,63,2500
11,51,50,900
103,3,55,2400
44,10,76,1800
38,26,65,3600
108,6,52,3500
80,38,80,900
35,29,77,2400
37,26,59,3500
55,50,77,1100
90,13,67,1400
75,51,50,2300
100,41,77,2800
84,26,51,3300
32,11,53,600
15,52,58,200
79,3,61,200
35,36,73,3700
45,23,65,2300
52,31,53,3100
22,41,72,3700
50,46,56,3000
87,40,67,3200
32,43,75,1600
54,11,68,3600
19,22,57,400
91,42,56,3700
59,4,78,3800
40,31,57,700
66,8,55,3000
56,42,53,1700
39,12,53,3600
24,26,64,2800
101,26,61,1100
16,26,60,0
90,30,78,1500
101,11,51,0
19,52,71,1100
66,33,62,100
85,18,59,1900
12,7,77,200
37,44,64,2600
27,37,77,1700
14,2,70,1100
107,33,65,4000
39,14,53,0
29,13,55,700
67,12,70,2100
42,22,58,800
99,45,63,1200
68,2,52,1200
70,38,55,100
32,26,53,2000
97,6,53,300
10,36,63,3600
20,45,63,600
103,50,73,100
49,10,65,100
68,47,68,1900
33,13,57,2700
10,2,50,3400
32,6,60,2900
80,39,60,2600
93,19,60,2800
48,5,53,1500
90,31,53,1800
38,44,57,4000
57,15,51,1000
21,40,50,1600
56,47,60,700
71,40,78,3100
77,51,77,2000
59,38,66,4000
102,47,55,100
104,49,65,1800
31,40,63,3800
58,49,75,2000
74,46,55,2200
106,37,73,900
52,4,77,3000
79,19,76,900
68,42,68,3000
25,3,77,1200
34,44,62,1000
90,44,67,2300
90,28,77,200
97,23,71,2400
91,40,57,100
72,12,65,2700
56,2,78,3500
81,5,52,1400
38,32,69,700
49,37,73,300
18,5,59,3300
40,12,78,900
84,1,50,2200
70,25,62,3400
19,37,80,800
26,38,78,0
53,28,77,3200
74,6,75,2900
71,40,61,3200
21,15,55,3400
22,52,50,500
49,23,67,1100
71,41,60,700
66,47,78,2200
98,4,74,100
24,20,51,3000
77,17,74,3700
18,23,69,1300
53,34,58,1600
84,28,71,200
72,41,70,900
73,24,63,800
58,17,74,3900
18,37,73,3200
10,17,67,1300
50,17,62,3800
93,47,72,3900
17,25,51,700
53,11,57,2100
87,9,53,1600
28,31,73,1700
63,39,70,2300
70,20,56,3400
44,30,56,400
46,46,75,100
103,1,54,1400
72,52,50,2600
91,47,62,3900
45,13,61,1100
89,18,76,3200
39,33,53,1400
33,38,61,2400
73,22,53,2400
10,4,71,400
12,35,66,1700
107,20,64,3900
39,26,67,800
92,3,71,3300
46,45,73,300
34,36,75,3100
41,36,71,2600
31,13,56,800
108,47,53,2400
108,1,51,100
86,5,74,1600
99,48,52,3600
16,4,74,2200
59,31,56,400
90,3,68,3200
72,19,80,3700
39,6,71,100
77,3,79,1600
91,51,76,2200
34,40,64,2900
37,11,55,3000
66,3,74,1600
68,41,69,2200
82,45,53,3800
50,2,76,3500
41,27,65,1400
41,12,67,2100
81,39,51,3400
27,34,51,1900
29,20,76,4000
27,48,69,1700
26,18,65,3900
86,29,60,700
70,38,67,1800
55,52,75,1600
12,22,52,2400
11,49,79,1200
17,44,75,3500
64,3,63,800
88,52,50,4000
36,50,50,1200
33,25,68,1300
83,52,76,400
72,37,51,400
33,18,60,3900
36,28,50,3800
71,47,56,200
68,22,63,3000
92,7,61,700
53,23,76,3200
63,31,59,1100
29,15,73,4000
21,26,78,2800
84,7,75,300
31,50,69,1800
74,45,55,2300
20,29,53,0
53,37,61,3000
65,18,53,1800
31,33,57,600
70,46,70,700
108,45,73,600
33,9,66,300
27,27,80,500
43,2,55,3400
97,2,60,2800
35,15,77,2400
59,6,73,1700
19,9,50,3600
50,40,73,1600
11,9,55,2100
38,10,60,0
100,29,52,300
21,13,74,2900
40,4,50,2200
102,15,60,0
58,21,80,2500
78,30,51,2500
16,6,51,2900
79,6,57,2700
44,26,59,100
31,25,73,3700
64,34,54,2800
28,44,77,2300
24,1,61,600
12,4,61,2500
74,50,69,3400
20,25,64,100
41,34,65,500
103,18,79,1800
43,32,58,2300
14,31,56,3800
29,16,62,2600
23,15,56,1400
24,31,50,2400
60,19,72,1500
25,14,74,3000
47,51,57,100
10,47,73,2800
76,23,80,1000
109,25,73,900
72,15,79,2400
80,28,56,3400
81,42,53,400
58,16,61,3000
12,9,76,2300
52,1,67,300
13,48,64,3400
64,17,71,400
67,20,75,200
18,44,57,600
79,14,57,2300
91,16,70,700
63,26,68,3400
89,7,70,3100
76,16,67,1400
76,12,58,1100
21,47,74,2600
22,27,61,600
90,36,52,700
78,14,65,700
80,6,62,2200
105,51,56,400
107,23,63,0
71,47,58,3000
97,37,63,2900
108,34,52,2100
38,2,80,3200
18,23,80,2500
95,36,52,2800
38,49,58,600
42,16,74,2700
92,30,65,2200
25,33,50,3400
66,26,63,1500
109,8,73,2900
36,7,63,3600
32,33,77,3400
18,47,55,3700
51,1,74,2400
86,23,75,3000
81,34,59,3000
68,35,56,2000
79,28,63,3300
90,43,56,100
51,25,56,1900
45,29,71,3100
97,3,69,2200
49,47,59,1300
85,23,75,4000
12,30,73,1600
94,5,68,2700
20,21,63,1400
103,19,66,100
54,23,57,3500
66,20,71,4000
30,35,62,2900
18,51,50,1700
105,22,77,2700
19,39,50,1000
12,50,58,1400
12,49,76,2400
81,27,53,1900
50,47,70,3600
90,11,72,3500
28,51,69,2800
106,14,50,3900
62,42,69,200
90,32,67,1500
38,16,55,300
78,10,53,1900
58,46,64,2000
79,41,68,0
70,49,61,300
78,34,55,2000
103,22,76,1000
85,30,53,3900
61,35,78,1400
53,29,67,2100
60,5,63,3300
104,16,57,1500
25,11,75,2100
41,25,62,2500
95,21,60,2500
35,26,58,2200
98,34,53,2100
39,44,61,2300
39,3,52,3900
81,47,51,4000
57,3,53,700
35,31,55,3700
58,18,54,1800
54,3,54,1400
63,26,73,1400
74,5,56,2000
13,51,64,3900
76,22,77,1100
60,47,70,500
98,14,71,3400
13,2,58,2700
46,38,60,2000
82,39,66,600
54,33,75,200
31,24,70,700
39,42,72,2500
87,28,61,2800
63,11,66,2000
20,29,70,300
45,20,69,2700
25,1,77,600
63,32,67,3000
29,10,57,1800
60,14,50,3500
25,20,79,700
51,10,72,3400
37,18,69,3500
44,31,60,900
36,43,55,3900
72,29,78,3600
62,7,71,2700
94,37,70,1500
93,35,51,3000
16,7,69,1900
48,2,55,2300
67,26,65,1600
85,4,56,500
20,21,69,3800
12,42,55,1300
74,45,67,1900
74,12,71,1000
36,36,74,2500
91,39,76,300
69,11,59,1400
56,8,50,2200
41,35,52,2600
101,6,67,2600
23,9,76,3200
60,49,69,800
108,13,70,1400
30,39,52,2800
46,11,62,700
68,1,61,3700
32,39,57,2600
109,35,55,2700
21,25,55,3800
85,11,58,300
